titre,prix,ville,url
A vendre un appartement S+1 au 2éme étage,300000DT,Nabeul,https://www.tayara.tn/item/67cb037a119f0ab09bd1cec3/Immobilier%20Neuf/Nabeul/Hammamet/A_vendre_un_appartement_S1_au_2me_tage/
A vendre un appartement S+2 au 1ére étage,450000DT,Nabeul,https://www.tayara.tn/item/67caeea0119f0ab09bd1c094/Immobilier%20Neuf/Nabeul/Hammamet/A_vendre_un_appartement_S2_au_1re_tage/
A vendre un appartement S+2 au 4éme étage,485000DT,Nabeul,https://www.tayara.tn/item/67cafd8093928ac5bc189384/Immobilier%20Neuf/Nabeul/Hammamet/A_vendre_un_appartement_S2_au_4me_tage/
A vendre un appartement S+2 au RDC,485000DT,Nabeul,https://www.tayara.tn/item/67caeae993928ac5bc18860e/Immobilier%20Neuf/Nabeul/Hammamet/A_vendre_un_appartement_S2_au_RDC/
A vendre un appartement S+1 au 6 éme étage,250000DT,Sousse,https://www.tayara.tn/item/67d01cbbefd14d3d051f0294/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S1_au_6_me_tage/
A vendre un appartement S+2 au RDC,420000DT,Sousse,https://www.tayara.tn/item/67d016cbc68ce6b5539b7b82/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S2_au_RDC/
A vendre un appartement S+2 au 5éme étage,385000DT,Sousse,https://www.tayara.tn/item/67d01bb7c68ce6b5539b7fec/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S2_au_5me_tage/
A vendre un appartement S+1 au 2éme étage,205000DT,Sousse,https://www.tayara.tn/item/67d01164c68ce6b5539b7737/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S1_au_2me_tage/
A vendre un appartement S+3 au 5éme étage,455000DT,Sousse,https://www.tayara.tn/item/67d0157cefd14d3d051efc81/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S3_au_5me_tage/
A vendre un appartement S+1 au RDC,520000DT,Sousse,https://www.tayara.tn/item/67d0102dc68ce6b5539b761e/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S1_au_RDC/
Appartement S+3 au quatrième étage,100000DT,Sousse,https://www.tayara.tn/item/67d81e4afd1c6385be37269e/Appartements/Sousse/Sousse_Riadh/Appartement_S3_au_quatrime_tage_/
à louer un spacieux appartement S+2 situé à sahloul 4,800DT,Sousse,https://www.tayara.tn/item/67ff906dca3467b14e803e1c/Appartements/Sousse/Sahloul/_louer_un_spacieux_appartement_S2_situ_sahloul_4/
𝐀 𝐯𝐞𝐧𝐝𝐫𝐞 𝐮𝐧 𝐚𝐩𝐩𝐚𝐫𝐭𝐞𝐦𝐞𝐧𝐭 𝐒+𝟏 𝐚̀ 𝐇𝐚𝐦𝐦𝐚𝐦𝐞𝐭 𝐂𝐞𝐧𝐭𝐫𝐞,160000DT,Nabeul,https://www.tayara.tn/item/680224a7c5beda2b51c9176d/Appartements/Nabeul/Hammamet_Centre/_/
À vendre fond de commerce d’un café à khzema ouest,270000DT,Sousse,https://www.tayara.tn/item/67a1eb81ecbb2843cb3f26e1/Autres%20Immobiliers/Sousse/Khzema/_vendre_fond_de_commerce_dun_caf_khzema_ouest_/
A louer,1200DT,Ben Arous,https://www.tayara.tn/item/67f15db3ca3467b14e74efe4/Bureaux%20et%20Plateaux/Ben_Arous/Ben_Arous/A_louer_/
A LOUER,3000DT,Ben Arous,https://www.tayara.tn/item/67f01a7cca3467b14e741fb5/Bureaux%20et%20Plateaux/Ben_Arous/Mgrine/A_LOUER/
Un appartement S+3 à Mourabitine,229000DT,Monastir,https://www.tayara.tn/item/67a0ae8ba487ea2259c47646/Appartements/Monastir/Monastir/Un_appartement_S3_Mourabitine_/
maison indépendante pour la vente,430000DT,Monastir,https://www.tayara.tn/item/680373fcc5beda2b51ca079b/Maisons%20et%20Villas/Monastir/Tboulba/maison_indpendante_pour_la_vente_/
À vendre Villa S+3 à HAMMAMET SUD 27246313,550000DT,Nabeul,https://www.tayara.tn/item/6803738bc5beda2b51ca0732/Maisons%20et%20Villas/Nabeul/Hammamet/_vendre_Villa_S3_HAMMAMET_SUD_27246313/
Appartement S +2 au deuxième étage à Riadh 1,105000DT,Sousse,https://www.tayara.tn/item/67dea154ca3467b14e6a5923/Appartements/Sousse/Sousse_Riadh/Appartement_S_2_au_deuxime_tage_Riadh_1/
Opportunité à Riadh 1 : Villa d’angle à vendre– 3 niveaux indépendants,695000DT,Sousse,https://www.tayara.tn/item/68036fd4c5beda2b51ca039c/Maisons%20et%20Villas/Sousse/Sousse_Riadh/Opportunit_Riadh_1_Villa_dangle_vendre_3_niveaux_indpendants/
Villa du coin avec une superficie de 400 m²,740000DT,Mahdia,https://www.tayara.tn/item/68021621c5beda2b51c907b9/Maisons%20et%20Villas/Mahdia/Mahdia/Villa_du_coin_avec_une_superficie_de_400_m/
villa plain pied à kalaa sghira,375000DT,Sousse,https://www.tayara.tn/item/677b954fb7de28167ecf2fff/Maisons%20et%20Villas/Sousse/Kala_Sghira/villa_plain_pied_kalaa_sghira_/
À vendre un appartement S+1 pieds dans l’eau situé à tantana chott mariem sousse,350000DT,Sousse,https://www.tayara.tn/item/67a4d85aecbb2843cb42862f/Appartements/Sousse/Chatt_mariem/_vendre_un_appartement_S1_pieds_dans_leau_situ_tantana_chott_mariem_sousse_/
à vendre un maison arabe traditionnel S+3 à hammem sousse,310000DT,Sousse,https://www.tayara.tn/item/67ff9907ca3467b14e8047b2/Maisons%20et%20Villas/Sousse/Hammam_Sousse/_vendre_un_maison_arabe_traditionnel_S3_hammem_sousse_/
Riadh el Andalous a vendre s+1 avec vue montagne,Non spécifié,Ariana,https://www.tayara.tn/item/67ff70ccca3467b14e801b3b/Appartements/Ariana/Riadh_Andalous/Riadh_el_Andalous_a_vendre_s1_avec_vue_montagne_/
a vendre une grande villa s +4,850000DT,Nabeul,https://www.tayara.tn/item/67f53b82ca3467b14e77e709/Maisons%20et%20Villas/Nabeul/Hammamet/a_vendre_une_grande_villa_s_4/
Isuzu DMAX,65000DT,Mahdia,https://www.tayara.tn/item/67d5a8f4fd1c6385be35aabf/Voitures/Mahdia/El_Jem/Isuzu_DMAX_/
Studio à Port marina El Kantaoui,235000DT,Sousse,https://www.tayara.tn/item/67ed4f20ca3467b14e720dcf/Appartements/Sousse/Kantaoui/Studio_Port_marina_El_Kantaoui/
Hall+4 a louer a Cité Des Jardins,3200DT,Tunis,https://www.tayara.tn/item/68012b679d6266842d9e5e9b/Bureaux%20et%20Plateaux/Tunis/Mutuelleville/Hall4_a_louer_a_Cit_Des_Jardins/
"Immeuble semi-inachevé à Chraf, à 2 pas de la mer",400000DT,Monastir,https://www.tayara.tn/item/673866a90d8480a1e00fae87/Autres%20Immobiliers/Monastir/Bekalta/Immeuble_semiinachev_Chraf_2_pas_de_la_mer/
A vendre un S+3 jamais habité à Sahloul Ghrabi,360000DT,Sousse,https://www.tayara.tn/item/68028c03c5beda2b51c97e07/Appartements/Sousse/Sahloul/A_vendre_un_S3_jamais_habit_Sahloul_Ghrabi/
A vendre Appartement S+2 – Hammamet Nord 27246303,170000DT,Nabeul,https://www.tayara.tn/item/68027af3c1f8f57898db62b8/Appartements/Nabeul/Hammamet_Nord/A_vendre_Appartement_S2_Hammamet_Nord_27246303/
𝐀 𝐯𝐞𝐧𝐝𝐫𝐞 𝐭𝐞𝐫𝐫𝐚𝐢𝐧 𝐚̀ 𝐤𝐞́𝐥𝐢𝐛𝐢𝐚 𝟐 𝒆̀𝒎𝒆 𝒑𝒐𝒔𝒊𝒕𝒊𝒐𝒏 𝒅𝒆 𝒍𝒂 𝒑𝒍𝒂𝒈𝒆,170100DT,Nabeul,https://www.tayara.tn/item/67fbba18fd1c6385be4dba18/Terrains%20et%20Fermes/Nabeul/Klibia/_/
Nouvelle Offre de Location – Appartement S+1 Jamais Habité !,750DT,Ben Arous,https://www.tayara.tn/item/67effbe3fd1c6385be447e42/Appartements/Ben_Arous/Medina_Jedida/_Nouvelle_Offre_de_Location_Appartement_S1_Jamais_Habit_/
"Villa individuelle spacieuse à vendre, offrant confort et intimité.",260000DT,Monastir,https://www.tayara.tn/item/67f3b031fd1c6385be4712bd/Maisons%20et%20Villas/Monastir/Tboulba/Villa_individuelle_spacieuse_vendre_offrant_confort_et_intimit/
"Villa Proche de la mer avec piscine - Bekalta , Dimess",730000DT,Monastir,https://www.tayara.tn/item/68022ab0c5beda2b51c91dfb/Maisons%20et%20Villas/Monastir/Bekalta/Villa_Proche_de_la_mer_avec_piscine_Bekalta_Dimess/
À Vendre – Maison indépendante à Ksar Hellal,240000DT,Monastir,https://www.tayara.tn/item/67ffc51fca3467b14e807823/Maisons%20et%20Villas/Monastir/Ksar_Hellal/_Vendre_Maison_indpendante_Ksar_Hellal/
"À Vendre : Duplex S+2 à Bassatine, Monastir",115000DT,Monastir,https://www.tayara.tn/item/678296567041684afebf117d/Appartements/Monastir/Monastir/_Vendre_Duplex_S2_Bassatine_Monastir/
Appartement S+2 vue de mer,345000DT,Nabeul,https://www.tayara.tn/item/67b355930b5f1b5530feead8/Appartements/Nabeul/Nabeul/Appartement_S2_vue_de_mer/
